iShares Russell 1000 ETF
Fund Holdings as of,"Mar 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"121,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","69,264,722.16","0.16","69,264,722.16","286,668.00","241.62","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","69,096,272.00","0.16","69,096,272.00","159,208.00","434.00","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","68,152,908.36","0.16","68,152,908.36","176,626.00","385.86","United States","NASDAQ","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","67,798,086.40","0.16","67,798,086.40","223,520.00","303.32","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","67,476,437.25","0.16","67,476,437.25","69,855.00","965.95","United States","NASDAQ","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","66,101,794.72","0.15","66,101,794.72","95,632.00","691.21","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","64,739,469.06","0.15","64,739,469.06","896,917.00","72.18","United States","NYSE","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","64,331,836.47","0.15","64,331,836.47","871,587.00","73.81","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","63,982,091.93","0.15","63,982,091.93","407,971.00","156.83","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","63,661,852.50","0.15","63,661,852.50","180,601.00","352.50","United States","NYSE","USD","1.00","USD","-"
