case_id,ticker,cik,entry_date,sector,market_cap_at_entry,outcome_class,forward_return_3yr,sp500_return_3yr,current_10k_filing_date,prior_10k_filing_date,current_item1a_word_count,prior_item1a_word_count
MC-REXR-PC-2022-03-31,REXR-PC,0001571283,2022-03-31,,4664148817,trap,-0.1314,0.28,2022-02-17,2021-02-19,18313,17890
MC-POST-2022-03-31,POST,0001530950,2022-03-31,,5407007499,winner,0.68,0.28,2021-11-19,2020-11-20,18408,17045
MC-OTEX-2022-03-31,OTEX,0001002638,2022-03-31,,5873999956,trap,-0.4042,0.28,2021-08-05,2020-08-06,20692,19105
MC-ZIONP-2022-03-31,ZIONP,0000109380,2022-03-31,,2879452875,underperform,0.081,0.28,2022-02-25,2021-02-25,5667,7493
MC-DAN-2020-09-30,DAN,0000026780,2020-09-30,,4764478303,underperform,0.1907,0.3,2020-02-14,2019-02-15,5007,4768
MC-OII-2020-09-30,OII,0000073756,2020-09-30,,3676139657,winner,6.3068,0.3,2020-02-27,2019-02-28,11979,12490
MC-POWI-2020-09-30,POWI,0000833640,2020-09-30,,2849496607,mixed,0.3774,0.3,2020-02-07,2019-02-13,5055,5078
MC-STAG-2020-09-30,STAG,0001479094,2020-09-30,,6776032389,underperform,0.1318,0.3,2020-02-12,2019-02-13,12981,12549
MC-FIBK-2020-09-30,FIBK,0000860413,2020-09-30,,3501798952,trap,-0.217,0.3,2020-02-27,2019-02-27,19238,16296
MC-PFH-2022-03-31,PFH,0001137774,2022-03-31,,5979059784,trap,-0.2389,0.28,2022-02-17,2021-02-19,10768,10698
MC-ASB-PF-2022-03-31,ASB-PF,0000007789,2022-03-31,,3366473319,trap,-0.215,0.28,2022-02-08,2021-02-09,16815,16584
MC-VAL-2022-03-31,VAL,0000314808,2022-03-31,,7241032733,trap,-0.2446,0.28,2022-02-22,2021-03-02,22733,29193
MC-EPRT-2020-09-30,EPRT,0001728951,2020-09-30,,5769635345,underperform,0.1807,0.3,2020-03-02,2019-02-28,20082,19190
MC-TCBI-2022-03-31,TCBI,0001077428,2022-03-31,,4356508676,mixed,0.3034,0.28,2022-02-09,2021-02-09,23977,24862
MC-REYN-2022-03-31,REYN,0001786431,2022-03-31,,4398882715,trap,-0.1868,0.28,2022-02-09,2021-02-12,14975,16056
MC-ESNT-2020-09-30,ESNT,0001448893,2020-09-30,,6083714227,mixed,0.2778,0.3,2020-02-18,2019-02-19,17139,16174
MC-MDU-2020-09-30,MDU,0000067716,2020-09-30,,4215351866,mixed,0.2675,0.3,2020-02-21,2019-02-22,16782,17215
MC-AX-2022-03-31,AX,0001299709,2022-03-31,,4850515362,mixed,0.3908,0.28,2021-08-26,2020-08-26,30501,12242
MC-ALKS-2020-09-30,ALKS,0001520262,2020-09-30,,4865412897,winner,0.6904,0.3,2020-02-13,2019-02-15,31223,31310
MC-MWA-2020-09-30,MWA,0001350593,2020-09-30,,4353467204,mixed,0.2204,0.3,2019-11-20,2018-11-21,9819,9779
MC-PBI-PB-2020-09-30,PBI-PB,0000078814,2020-09-30,,3633804890,trap,-0.0847,0.3,2020-02-20,2019-02-20,3765,3492
MC-MSA-2020-09-30,MSA,0000066570,2020-09-30,,6582117333,underperform,0.175,0.3,2020-02-20,2019-02-22,5306,5209
MC-PLXS-2022-03-31,PLXS,0000785786,2022-03-31,,5412628377,winner,0.5662,0.28,2021-11-19,2020-11-20,10703,10350
MC-RSMDF-2020-09-30,RSMDF,0000943819,2020-09-30,,3661392161,trap,-0.157,0.3,2020-08-13,2019-08-08,13644,11440
MC-PLAB-2020-09-30,PLAB,0000810136,2020-09-30,,2518214921,winner,1.0291,0.3,2019-12-23,2018-12-21,6186,6082
MC-PK-2022-03-31,PK,0001617406,2022-03-31,,2165921693,trap,-0.4531,0.28,2022-02-18,2021-02-26,11434,11400
MC-DAN-2022-03-31,DAN,0000026780,2022-03-31,,4764478303,trap,-0.2413,0.28,2022-02-23,2021-02-18,5360,4849
